BARCODE,CELL_NAME_TYPE_ID
003016107020,CELL0080
003016107021,CELL0080
003016107028,CELL0080
003016107029,CELL0080
003016107022,CELL0080
003016107023,CELL0080
003016107030,CELL0080
003016108001,CELL0080
003016107024,CELL0080
003016107025,CELL0080
003016108002,CELL0080
003016108003,CELL0080
003016107026,CELL0080
003016107027,CELL0080
003016108004,CELL0080
003016108005,CELL0080
003016110022,CELL0080
003016110023,CELL0080
003016111002,CELL0080
003016111003,CELL0080
003016110026,CELL0080
003016110027,CELL0080
003016111006,CELL0080
003016111007,CELL0080
003016110028,CELL0080
003016110029,CELL0080
003016111008,CELL0080
003016111009,CELL0080
003016110030,CELL0080
003016111001,CELL0080
003016111010,CELL0080
003016111011,CELL0080
003016093020,CELL0080
003016094005,CELL0080
003016093027,CELL0080
003016093028,CELL0080
003016093021,CELL0080
003016093022,CELL0080
003016093029,CELL0080
003016093030,CELL0080
003016093023,CELL0080
003016093024,CELL0080
003016094001,CELL0080
003016094002,CELL0080
003016093025,CELL0080
003016093026,CELL0080
003016094004,CELL0080
003016111028,CELL0080
003016111029,CELL0080
003016112008,CELL0080
003016112009,CELL0080
003016112002,CELL0080
003016112003,CELL0080
003016112012,CELL0080
003016112013,CELL0080
003016112004,CELL0080
003016112005,CELL0080
003016112014,CELL0080
003016112015,CELL0080
003016112006,CELL0080
003016112007,CELL0080
003016112016,CELL0080
003016112017,CELL0080
003016113004,CELL0080
003016113005,CELL0080
003016113012,CELL0080
003016113013,CELL0080
003016113006,CELL0080
003016113007,CELL0080
003016113014,CELL0080
003016113015,CELL0080
003016113008,CELL0080
003016113009,CELL0080
003016113016,CELL0080
003016113017,CELL0080
003016113010,CELL0080
003016113011,CELL0080
003016113018,CELL0080
003016113019,CELL0080
003016094006,CELL0080
003016094007,CELL0080
003016094014,CELL0080
003016094015,CELL0080
003016094008,CELL0080
003016094009,CELL0080
003016094016,CELL0080
003016094017,CELL0080
003016094010,CELL0080
003016094011,CELL0080
003016094018,CELL0080
003016094019,CELL0080
003016094012,CELL0080
003016094013,CELL0080
003016094020,CELL0080
003016094021,CELL0080
003016023025,CELL0030
003016023026,CELL0030
003016024003,CELL0030
003016024004,CELL0030
003016024011,CELL0030
003016024012,CELL0030
003016023027,CELL0030
003016023028,CELL0030
003016024005,CELL0030
003016024006,CELL0030
003016024013,CELL0030
003016024014,CELL0030
003016023029,CELL0030
003016023030,CELL0030
003016024007,CELL0030
003016024008,CELL0030
003016024015,CELL0030
003016024016,CELL0030
003016024001,CELL0030
003016048017,CELL0030
003016024009,CELL0030
003016024010,CELL0030
003016024017,CELL0030
003016024018,CELL0030
003016079016,CELL0050
003016078008,CELL0050
003016078013,CELL0050
003016078014,CELL0050
003016078009,CELL0050
003016078010,CELL0050
003016079018,CELL0050
003016078016,CELL0050
003016078011,CELL0050
003016079017,CELL0050
003016078017,CELL0050
003016078018,CELL0050
003016112018,CELL0080
003016112019,CELL0080
003016112026,CELL0080
003016112027,CELL0080
003016112020,CELL0080
003016112021,CELL0080
003016112028,CELL0080
003016112029,CELL0080
003016112022,CELL0080
003016112023,CELL0080
003016112030,CELL0080
003016113001,CELL0080
003016112024,CELL0080
003016112025,CELL0080
003016113002,CELL0080
003016113003,CELL0080
003016082026,CELL0050
003016082027,CELL0050
003016083002,CELL0050
003016083003,CELL0050
003016082028,CELL0050
003016082029,CELL0050
003016083004,CELL0050
003016083005,CELL0050
003016082030,CELL0050
003016083001,CELL0050
003016083006,CELL0050
003016083007,CELL0050
003016016001,CELL0030
003016016002,CELL0030
003016016009,CELL0030
003016016010,CELL0030
003016016017,CELL0030
003016016018,CELL0030
003016016003,CELL0030
003016016004,CELL0030
003016016011,CELL0030
003016016012,CELL0030
003016016019,CELL0030
003016016020,CELL0030
003016016005,CELL0030
003016016006,CELL0030
003016016013,CELL0030
003016016014,CELL0030
003016016021,CELL0030
003016016022,CELL0030
003016016007,CELL0030
003016016008,CELL0030
003016016015,CELL0030
003016016016,CELL0030
003016016023,CELL0030
003016016024,CELL0030
003016074030,CELL0050
003016075001,CELL0050
003016075006,CELL0050
003016075007,CELL0050
003016075002,CELL0050
003016075003,CELL0050
003016075008,CELL0050
003016075009,CELL0050
003016075004,CELL0050
003016075005,CELL0050
003016075010,CELL0050
003016075011,CELL0050
003016046021,CELL0030
003016046022,CELL0030
003016046029,CELL0030
003016046030,CELL0030
003016047007,CELL0030
003016047008,CELL0030
003016046023,CELL0030
003016046024,CELL0030
003016047001,CELL0030
003016047002,CELL0030
003016047009,CELL0030
003016047010,CELL0030
003016046025,CELL0030
003016046026,CELL0030
003016047003,CELL0030
003016047004,CELL0030
003016047011,CELL0030
003016047012,CELL0030
003016046027,CELL0030
003016046028,CELL0030
003016047005,CELL0030
003016047006,CELL0030
003016047013,CELL0030
003016047014,CELL0030
003016111012,CELL0080
003016111013,CELL0080
